country,origin,system,status,matID,url
Russia,Soviet Union,T-64BV,damaged,75,https://i.postimg.cc/DfYzLMQ3/v60.png
Russia,Soviet Union,T-72B,damaged,735,https://i.postimg.cc/HLqxBrSK/4fa.png
Russia,Soviet Union,T-72B,damaged,736,https://i.postimg.cc/8zz8WcH7/763.png
Russia,Soviet Union,T-72B,damaged,742,https://i.postimg.cc/Bv3rSysY/33213.png
Russia,Russia,T-72B Obr. 1989,damaged,768,https://i.postimg.cc/Sx58mgzj/480.png
Russia,Russia,T-72B Obr. 1989,damaged,771,https://i.postimg.cc/9XgKbxBF/8.jpg
Russia,Russia,T-72B3,damaged,782,https://i.postimg.cc/zfTsVnsF/579.png 
Russia,Russia,T-72B3 Obr. 2016,damaged,7125,https://i.postimg.cc/9Mhg9B0b/4g2.png
Russia,Russia,T-72B3 Obr. 2016,damaged,7126,https://i.postimg.cc/yNv6K4zM/468.png
Russia,Russia,T-80U,damaged,7183,https://i.postimg.cc/Pf2gzrfP/f5.png
Russia,Russia,Unknown tank,damaged,7259,https://i.postimg.cc/44SFGsk4/4373.png
Russia,Russia,Unknown tank,damaged,7260,https://i.postimg.cc/gj3F2623/541.png
Russia,Russia,R-149MA1 command and staff vehicle,damaged,7392,https://i.postimg.cc/jSgsKMn3/g553.jpg
Russia,Russia,R-149MA3 command and staff vehicle,damaged,7400,https://i.postimg.cc/q7W198PZ/f431.png
Russia,Soviet Union,BMP-1(P),damaged,7445,https://postimg.cc/DJp7JbvH
Russia,Soviet Union,BMP-2,damaged,7503,https://i.postimg.cc/vBy9TRg0/77699.png
Russia,Soviet Union,BMP-2,damaged,7504,https://i.postimg.cc/XYyYKfsy/Screenshot-8236.png
Russia,Soviet Union,BMP-2,damaged,7505,https://i.postimg.cc/2jX5hmCS/u1.jpg
Russia,Soviet Union,BMP-2,damaged,7515,https://i.postimg.cc/RhxT6Pz9/663.png
Russia,Soviet Union,BMP-2,damaged,7516,https://i.postimg.cc/rF84w7J1/fsl.png
Russia,Russia,BMP-3,damaged,7557,https://i.postimg.cc/HxnCghHt/446.jpg
Russia,Soviet Union,BMD-2,damaged,7586,https://i.postimg.cc/hvdB25Hw/j2.jpg
Russia,Soviet Union,BMD-2,damaged,7593,https://i.postimg.cc/MTmVp6Hz/c5.png
Russia,Russia,BTR-82A,damaged,7657,https://i.postimg.cc/RZQbNvvr/54.jpg
Russia,Russia,BTR-82A,damaged,7658,https://i.postimg.cc/j5kxgNCW/g66.jpg
Russia,Russia,BTR-82A,damaged,7666,https://i.postimg.cc/BbS69p4N/66588.png
Russia,Soviet Union,BTR-80,damaged,7703,https://i.postimg.cc/HsQGV9qw/nm.jpg
Russia,Russia,GAZ Tigr-M,damaged,7788,https://i.postimg.cc/ZKDrDbck/85.png
Russia,Russia,GAZ Tigr-M,damaged,7789,https://i.postimg.cc/vZRf920n/t1.jpg
Russia,Russia,GAZ Tigr-M,damaged,7790,https://i.postimg.cc/qv8nGcF5/t2.jpg
Russia,Russia,GAZ Tigr-M,damaged,7791,https://i.postimg.cc/25GZskrd/t3.jpg
Russia,Italy,Iveco LMV 'Rys',damaged,7820,https://i.postimg.cc/4xrt6Lwt/542.png
Russia,Russia,Unknown communications station based on the KamAZ 6x6,damaged,7832,https://i.postimg.cc/DfxxKLnD/84.png
Russia,Soviet Union,TMM-3 bridge layer,damaged,7857,https://i.postimg.cc/85dm6pjK/44565.png
Russia,Russia,Ural-4320 KET-L,damaged,7876,https://i.postimg.cc/SsQHDVNQ/5579.png  
Russia,Soviet Union,152mm 2A65 Msta-B howitzer,damaged,7927,https://i.postimg.cc/yYx8J43v/Screenshot-8073.png
Russia,Soviet Union,152mm 2A65 Msta-B howitzer,damaged,7929,https://i.postimg.cc/yYx8J43v/Screenshot-8073.png
Russia,Soviet Union,152mm 2S3 Akatsiya,damaged,7949,https://i.postimg.cc/8kr2TQRq/324.png
Russia,Soviet Union,122mm BM-21 'Grad',damaged,7990,https://i.postimg.cc/s2wR9DPH/768.png
Russia,Soviet Union,122mm BM-21 'Grad',damaged,7991,https://i.postimg.cc/kGHcy5Hv/31.png
Russia,Russia,2K22M1 Tunguska,damaged,71011,https://i.postimg.cc/9MqLyHJZ/764.png
Russia,Soviet Union,9K33 Osa,damaged,71016,https://i.postimg.cc/PxkdsRX3/438.png
Russia,Russia,9A310M1 TELAR (for Buk-M1-2),damaged,71028,https://i.postimg.cc/DZXDG2k3/779.png
Russia,Soviet Union,9A330 Tor TLAR (for 9K330 Tor-M),damaged,71038,https://i.postimg.cc/mgHPxQR3/5k.png
Russia,Russia,R-330BMV Borisoglebsk-2B,damaged,71057,https://i.postimg.cc/wvzPRKsx/333.png
Russia,Soviet Union,Su-25 close air support aircraft,damaged,71066,https://i.postimg.cc/zBVmRBJ2/h9.png
Russia,Russia,Unknown Mi-24/35 attack helicopter,damaged,71086,https://i.postimg.cc/HxryM4jS/Screenshot-8449.png
Russia,Russia,Ka-52 'Alligator' attack helicopter,damaged,71091,https://twitter.com/azyakancokkacan/status/1504785437902188573
Russia,Russia,Ka-52 'Alligator' attack helicopter,damaged,71092,https://postimg.cc/jCmC8Nx5
Russia,Russia,Ka-52 'Alligator' attack helicopter,damaged,71093,https://i.postimg.cc/Zqj182jJ/987.png
Russia,Russia,Unknown helicopter,damaged,71096,https://i.postimg.cc/QxT5hQNx/421.png
Russia,Russia,Project 03160 'Raptor' patrol boat,damaged,71112,https://twitter.com/UAWeapons/status/1506229325598756872
Russia,Russia,Ural-4320,damaged,71203,https://i.postimg.cc/YSs02PPZ/k9.png
Russia,Russia,Ural-4320,damaged,71204,https://postimg.cc/kVDPCNz0
Russia,Russia,Ural-4320,damaged,71205,https://i.postimg.cc/xd8C4F47/tt2.png
Russia,Russia,Ural-4320,damaged,71221,https://i.postimg.cc/fR5byVj2/k88.jpg
Russia,Russia,KamAZ 6x6,damaged,71391,https://i.postimg.cc/kGnW3KWg/880.png
Russia,Russia,KamAZ 6x6,damaged,71392,https://i.postimg.cc/XYdzk891/5g.png
Russia,Russia,KamAZ 6x6,damaged,71393,https://postimg.cc/jWRY7hHb
Russia,Russia,KamAZ 6x6,damaged,71394,https://i.postimg.cc/GhDp0yzL/tt1.png
Russia,Russia,KamAZ 6x6,damaged,71414,https://i.postimg.cc/VkpkSLDj/f87.png
Russia,Russia,KamAZ 6x6,damaged,71415,https://i.postimg.cc/C1ZkcvPv/d3.png
Russia,Russia,KamAZ 6x6,damaged,71416,https://i.postimg.cc/Rhhng7p9/4r.png
Russia,Russia,KamAZ-6350 8x8 artillery tractor,damaged,71487,https://i.postimg.cc/br6jRJWd/Screenshot-8072.png
Russia,Russia,KamAZ-6350 8x8 artillery tractor,damaged,71488,https://i.postimg.cc/nczxh49m/Screenshot-8074.png
Russia,Russia,UAZ Patriot,damaged,71493,https://i.postimg.cc/tggdgvNx/54g.jpg
Russia,Russia,Armoured SUV,damaged,71496,https://i.postimg.cc/JhV6T907/329.png
Russia,Russia,Unknown truck,damaged,71536,https://i.postimg.cc/K834NwrF/67.jpg
Russia,Russia,Unknown truck,damaged,71537,https://postimg.cc/phTN0Xcc
Russia,Russia,Unknown truck,damaged,71538,https://postimg.cc/WDSL6J8J
Russia,Russia,Unknown truck,damaged,71539,https://i.postimg.cc/26pbyqvZ/v56.png
Ukraine,Soviet Union,T-64BV,damaged,3801575,https://i.postimg.cc/CLn96SZZ/f7.png
Ukraine,Soviet Union,T-64BV,damaged,3801581,https://i.postimg.cc/6QWhgDnj/j8.png
Ukraine,Ukraine,T-64B1M,damaged,3801606,https://i.postimg.cc/HxmWTxMP/3d1.png 
Ukraine,Soviet Union,T-80BV,damaged,3801613,https://i.postimg.cc/0jXKJsjL/f58.png
Ukraine,Soviet Union,BRM-1K,damaged,3801617,https://i.postimg.cc/tC4jmbcK/446.png
Ukraine,Soviet Union,MT-LBu,damaged,3801656,https://i.postimg.cc/ZYHxJ6rp/Screenshot-8036.png
Ukraine,Soviet Union,BMP-1(P),damaged,3801681,https://i.postimg.cc/vmNpXbHQ/gg2.png
Ukraine,Soviet Union,BMP-2,damaged,3801692,https://i.postimg.cc/cJfZ5HRh/547.jpg
Ukraine,United States,HMMWV,damaged,3801748,https://i.postimg.cc/zX4hRNMG/4799.png
Ukraine,Ukraine,Novator,damaged,3801753,https://i.postimg.cc/MKMkcgwH/776.png
Ukraine,Ukraine,Kozak-2,damaged,3801768,https://i.postimg.cc/1XzJ7nhW/d2g.png
Ukraine,Ukraine,Unknown towed artillery,damaged,3801809,https://i.postimg.cc/BnNpxWwv/33.jpg 
Ukraine,Soviet Union,122mm 2S1 Gvozdika,damaged,3801816,https://i.postimg.cc/TwZV2tLf/799.jpg
Ukraine,Soviet Union,P-14 'Tall King',damaged,3801846,https://i.postimg.cc/rpWmrPLb/57.png
Ukraine,Soviet Union,1L22 'Parol',damaged,3801851,https://postimg.cc/9Dcvz02c
Ukraine,Soviet Union,Su-25 attack aircraft,damaged,3801865,https://twitter.com/UAWeapons/status/1506317219000721412
Ukraine,Ukraine,KrAZ-6322,damaged,3801895,https://i.postimg.cc/wM4RWy5K/r3.png
Ukraine,Soviet Union,GAZ-66,damaged,3801916,https://i.postimg.cc/gjhmvGsF/g3.png
Ukraine,Soviet Union,GAZ-66,damaged,3801917,https://i.postimg.cc/YC0mqTkH/58.png
Ukraine,Soviet Union,GAZ-66,damaged,3801918,https://i.postimg.cc/gj9TG17c/Screenshot-8228.png
Ukraine,Belarus,MAZ,damaged,3802010,https://i.postimg.cc/9fRbHBdp/f3.png
Ukraine,Ukraine,Unknown truck,damaged,3802028,https://i.postimg.cc/4xBF4TJG/37.jpg
Ukraine,Ukraine,Unknown truck,damaged,3802029,https://i.postimg.cc/3Jzj3bLL/bnm.png
Ukraine,Ukraine,Unknown truck,damaged,3802030,https://i.postimg.cc/SRtv4JHH/1dg.png
